"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algo"
"org.benchmark.groupby.MyBenchmark.swapComputers","thrpt",1,40,262460.004496,594.623473,"ops/s",EM-GN
"org.benchmark.groupby.MyBenchmark.swapComputers:·async","thrpt",1,1,NaN,NaN,"---",EM-GN
"org.benchmark.groupby.MyBenchmark.swapComputers","thrpt",1,40,126693.264243,3169.713171,"ops/s",EM-3R
"org.benchmark.groupby.MyBenchmark.swapComputers:·async","thrpt",1,1,NaN,NaN,"---",EM-3R
"org.benchmark.groupby.MyBenchmark.swapComputers","thrpt",1,40,260634.916579,14964.352425,"ops/s",DRL
"org.benchmark.groupby.MyBenchmark.swapComputers:·async","thrpt",1,1,NaN,NaN,"---",DRL
"org.benchmark.groupby.MyBenchmark.swapComputers","thrpt",1,40,119618.224711,3143.351436,"ops/s",CS-D
"org.benchmark.groupby.MyBenchmark.swapComputers:·async","thrpt",1,1,NaN,NaN,"---",CS-D
"org.benchmark.groupby.MyBenchmark.swapComputers","thrpt",1,40,489047.745549,7804.989263,"ops/s",CS-B
"org.benchmark.groupby.MyBenchmark.swapComputers:·async","thrpt",1,1,NaN,NaN,"---",CS-B
